fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
-0.5283596117263187,0.9618766712454476,-1.3914722776605752,-0.45321840673805114,-0.24370668659232994,11.0,34.0,0.5582744625309729,1.288642916709892,-0.5792065221278776,-0.9602461068947519,5
-0.2985474337867381,1.9674424541409123,-1.3914722776605752,0.0434161447934977,0.22387519619714352,25.0,67.0,0.028260767740937578,-0.7199332966852555,0.1289504006827337,-0.5847771110397104,5
-0.2985474337867381,1.297065265543936,-1.1860704292930377,-0.16942723443430907,0.09635286452728704,15.0,54.0,0.1342635066989329,-0.3311766102216806,-0.04808883001991929,-0.5847771110397104,5
1.6548560786997,-1.3844434888439687,1.4841535994849522,-0.45321840673805114,-0.264960408537306,17.0,60.0,0.6642772014889682,-0.9791044209943073,-0.4611803683261096,-0.5847771110397104,6
-0.5283596117263187,0.9618766712454476,-1.3914722776605752,-0.45321840673805114,-0.24370668659232994,11.0,34.0,0.5582744625309729,1.288642916709892,-0.5792065221278776,-0.9602461068947519,5
-0.5283596117263187,0.7384176083797893,-1.3914722776605752,-0.5241661998139866,-0.264960408537306,13.0,40.0,0.5582744625309729,1.288642916709892,-0.5792065221278776,-0.9602461068947519,5
-0.24109438930184252,0.40322901408130096,-1.0833695051092689,-0.6660617859658576,-0.3924827402071622,15.0,59.0,-0.18374471017511187,-0.07200548591262876,-1.1693372911367206,-0.9602461068947519,5
-0.5858126562112143,0.6825528426633746,-1.3914722776605752,-0.9498529582695998,-0.4774976279870665,15.0,21.0,-1.1377693607971284,0.5111295437827393,-1.1103242142358365,-0.3970426131121905,7
-0.2985474337867381,0.2914994826484715,-1.2887713534768064,-0.38227061366211557,-0.30746785242725816,9.0,18.0,0.028260767740937578,0.316751200550949,-0.520193445226994,-0.8663788579309919,7
-0.4709065672414237,-0.1554186430828458,0.4571443576472635,2.526588902451241,-0.34997529631721036,17.0,102.0,0.5582744625309729,0.25195841947368747,0.8371073234933449,0.07229363170661092,5
-0.9305309231205855,0.2914994826484715,-0.9806685809254999,-0.5241661998139866,0.20262147425216745,15.0,65.0,-0.4487515575701001,-0.2015910480671547,-0.6972326759296462,-1.1479806048222734,5
-0.4709065672414237,-0.1554186430828458,0.4571443576472635,2.526588902451241,-0.34997529631721036,17.0,102.0,0.5582744625309729,0.25195841947368747,0.8371073234933449,0.07229363170661092,5
-1.5625144124544335,0.487026162655923,-1.3914722776605752,-0.6660617859658576,0.03259169869235881,16.0,59.0,-1.2967734692341801,1.742192384250734,-0.8152588297314148,-0.49090986207595044,5
-0.2985474337867381,0.45909377979771565,0.0976911230040726,-0.6660617859658576,0.5639347473167605,9.0,29.0,0.3462689846149235,-0.3311766102216806,5.32210116796055,-1.2418478537860334,5
0.3334360555471099,0.5149585455141305,-0.4671639600066559,0.8947896617047238,1.881665507905276,52.0,145.0,0.982285418363013,-0.9791044209943073,1.3092119387004189,-1.1479806048222734,5
0.3334360555471099,0.5149585455141305,-0.41581349791477146,0.9657374547806594,1.75414317623542,51.0,148.0,0.982285418363013,-0.9143116399170458,1.6042773232048406,-1.1479806048222734,5
0.10362387760752874,-1.3844434888439687,1.4841535994849522,-0.5241661998139866,0.09635286452728704,35.0,103.0,0.08126213721993523,-0.07200548591262876,0.5420419389889234,0.07229363170661092,7
-0.12618830033205244,0.1797699512156426,0.046340660912188414,-0.5951139928899222,5.96238012134068,16.0,56.0,0.028260767740937578,-1.3030683263806235,3.66973501473579,-1.0541133558585118,5
-0.5283596117263187,0.3473642483648862,-0.9806685809254999,1.3204764201603374,-0.03116946714256943,6.0,29.0,0.3462689846149235,0.4463367627054749,-0.9332849835331836,-1.3357151027497933,4
